GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
264,374.96,12348.22,16480.23,-13860.64,-2409.18,6452.63,-12569.82,-104406.19,425.42,6816.4,-103980.77,-97164.38
265,366.19,12215.84,16460.25,-13842.84,-2500.78,6452.89,-12590.69,-104308.48,426.75,6560.87,-103881.73,-97320.86
266,308.14,12345.82,16614.07,-13887.02,-2355.95,6449.82,-12722.78,-104261.49,424.34,6752.09,-103837.15,-97085.06
267,312.51,12247.74,16439.72,-13798.7,-2627.42,6486.27,-12452.95,-104315.6,426.95,6607.17,-103888.65,-97281.48
268,357.27,12320.5,16445.34,-13902.14,-2950.55,6432.81,-12667.26,-103782.71,428.44,6035.97,-103354.27,-97318.3
269,341.99,12413.62,16525.76,-13799.48,-3098.98,6435.62,-12649.57,-103770.89,430.25,6168.97,-103340.64,-97171.67
270,316.57,12271.23,16581.06,-13904.6,-2243.63,6433.92,-12607.4,-104513.9,428.35,6847.16,-104085.55,-97238.39
271,344.55,12293.35,16565.4,-13939.7,-2375.67,6442.81,-12609.89,-104343.92,425.42,6720.85,-103918.5,-97197.65
272,368.3,12387.05,16510.04,-13944.9,-2926.06,6432.56,-12628.85,-103754.18,425.63,6198.13,-103328.55,-97130.41
273,311.86,12392.47,16520.39,-13935.84,-3284.36,6419.69,-12682.32,-103356.49,426.66,5741.88,-102929.83,-97187.95
274,326.29,12343.75,16598.2,-13882.69,-3342.3,6482.18,-12592.26,-103569.43,427.54,5933.17,-103141.89,-97208.72
275,405.34,12317.34,16564.68,-13847.66,-2809.75,6435.24,-12603.96,-103961.35,427.47,6461.24,-103533.89,-97072.65
276,353.72,12464.45,16519.47,-13867.74,-3244.43,6435.11,-12534.63,-103705.63,424.91,6125.96,-103280.72,-97154.77
277,315.85,12284.55,16527.2,-14000.23,-3327.97,6483.2,-12560.42,-103400.94,425.21,5722.18,-102975.72,-97253.54
278,341.59,12305.91,16566.7,-13918.92,-3589.94,6472.25,-12503.66,-103274.48,424.51,5673.94,-102849.97,-97176.03
279,328.49,12338.2,16587.46,-13893.27,-3769.79,6421.58,-12563.82,-103044.65,424.16,5448.86,-102620.49,-97171.63
280,356.92,12125.27,16522.03,-13860.83,-3502.3,6497.61,-12487.56,-103322.47,425.08,5651.14,-102897.4,-97246.26
281,318.01,12276.2,16441.42,-13973.17,-3193.34,6477.99,-12728.37,-103414.63,422.81,5618.75,-102991.83,-97373.08
282,408.57,12320.48,16563.89,-13898.74,-3546.98,6433.71,-12579.56,-103323.45,422.74,5701.36,-102900.71,-97199.35
283,332.6,12237.18,16603.44,-13952.56,-3160.36,6450.97,-12639.91,-103599.74,423.45,5871.37,-103176.29,-97304.92
284,351.8,12327.93,16442.3,-13940.08,-2853.95,6469.49,-12673.87,-103784.98,424.3,6123.61,-103360.68,-97237.07
285,346.8,12427.54,16499.67,-13882.74,-3380.05,6400.84,-12648.92,-103405.93,424.03,5763.14,-102981.9,-97218.76
286,332.44,12305.31,16568.58,-13933.96,-3150.07,6425.51,-12555.31,-103710.54,424.5,5992.51,-103286.04,-97293.53
287,353.65,12267.18,16455.18,-13888.5,-3254.71,6513.68,-12524.52,-103537.62,423.63,5921.96,-103114.0,-97192.04
288,321.13,12248.99,16525.54,-13945.75,-3369.67,6427.22,-12683.77,-103340.52,424.3,5523.68,-102916.22,-97392.54
289,340.52,12431.79,16500.44,-13915.18,-2872.86,6421.56,-12568.48,-103763.64,425.56,6337.8,-103338.09,-97000.29
290,363.99,12517.39,16503.59,-13968.95,-3589.94,6421.2,-12689.09,-103151.55,421.08,5558.2,-102730.47,-97172.27
291,355.97,12208.03,16459.64,-13830.1,-3545.55,6453.6,-12589.62,-103266.77,422.62,5511.95,-102844.15,-97332.2
292,371.2,12348.71,16521.88,-13949.12,-3418.75,6453.32,-12600.79,-103314.66,422.32,5726.44,-102892.34,-97165.89
293,313.21,12435.78,16400.34,-13898.37,-3415.66,6425.05,-12763.27,-103252.28,424.29,5497.09,-102827.99,-97330.9
294,339.51,12333.37,16575.74,-13850.85,-3969.63,6423.64,-12630.73,-102803.42,424.8,5221.04,-102378.62,-97157.58
295,345.45,12317.74,16605.66,-13903.71,-4114.35,6433.81,-12504.93,-102725.69,423.22,5179.68,-102302.47,-97122.8
296,346.36,12360.16,16597.38,-13878.46,-3623.0,6468.32,-12703.42,-102984.94,425.48,5567.36,-102559.46,-96992.11
297,338.37,12331.63,16559.05,-13729.52,-3573.31,6440.64,-12753.54,-102991.38,423.76,5613.33,-102567.62,-96954.29
298,335.25,12244.52,16531.01,-13933.26,-3700.81,6483.14,-12521.71,-103071.29,423.72,5438.14,-102647.56,-97209.43
299,364.65,12357.94,16564.31,-13978.59,-3391.1,6456.69,-12638.8,-103367.37,424.73,5735.09,-102942.63,-97207.54
300,349.95,12273.29,16591.51,-13908.38,-3816.1,6414.17,-12624.9,-102901.14,424.38,5279.53,-102476.76,-97197.22
301,357.38,12377.69,16520.91,-13982.14,-3735.01,6407.12,-12567.07,-102923.67,424.46,5378.88,-102499.21,-97120.33
302,368.84,12468.28,16621.22,-13916.88,-4436.23,6473.34,-12643.1,-102264.43,424.95,4935.47,-101839.48,-96904.01
303,295.02,12365.87,16455.08,-13940.1,-3694.09,6491.52,-12599.41,-103023.79,426.5,5373.89,-102597.28,-97223.4
304,368.23,12337.73,16457.32,-14001.88,-3646.83,6442.34,-12670.32,-102972.67,426.57,5286.6,-102546.1,-97259.51
305,330.73,12305.36,16431.63,-13879.96,-3904.22,6430.35,-12653.82,-102879.96,424.58,5060.06,-102455.38,-97395.32
306,351.8,12433.78,16482.71,-13855.73,-3800.76,6426.44,-12766.29,-102819.36,426.36,5271.94,-102393.0,-97121.06
307,339.56,12438.99,16541.3,-13922.55,-3871.41,6463.95,-12707.19,-102873.19,424.87,5282.65,-102448.31,-97165.66
308,351.53,12352.97,16555.95,-13978.18,-4108.11,6435.16,-12750.84,-102494.53,422.73,4858.49,-102071.8,-97213.31
309,336.45,12374.79,16594.48,-13896.07,-4241.54,6454.79,-12605.06,-102448.42,424.01,5017.85,-102024.42,-97006.57
310,351.18,12260.0,16538.97,-13850.93,-3720.11,6461.11,-12520.25,-103094.71,427.72,5519.95,-102667.0,-97147.04
311,353.33,12308.7,16573.18,-13955.98,-3472.7,6430.34,-12803.45,-103164.81,423.66,5433.41,-102741.15,-97307.74
312,289.16,12232.83,16498.08,-14006.12,-3720.13,6446.35,-12637.67,-103044.66,422.95,5102.5,-102621.71,-97519.21
313,339.74,12284.98,16547.98,-13965.18,-3858.84,6419.26,-12651.32,-102918.34,420.61,5116.62,-102497.73,-97381.11
314,352.68,12344.55,16426.81,-14008.74,-3668.52,6432.59,-12590.93,-103117.93,423.84,5288.45,-102694.09,-97405.64
315,327.54,12326.67,16572.18,-13890.6,-3636.52,6428.56,-12648.21,-103194.21,420.3,5479.61,-102773.92,-97294.31
316,377.43,12379.93,16514.39,-13966.14,-3478.32,6421.51,-12641.62,-103195.22,422.85,5607.17,-102772.37,-97165.2
317,343.03,12387.74,16472.24,-14038.4,-2994.75,6479.71,-12686.17,-103597.6,420.71,5963.41,-103176.89,-97213.48
318,352.79,12288.9,16478.41,-13919.54,-3302.7,6430.54,-12646.39,-103373.06,423.66,5682.01,-102949.4,-97267.39
319,302.05,12395.87,16588.29,-13940.8,-3671.77,6459.26,-12664.2,-103028.38,417.3,5468.7,-102611.08,-97142.38
320,359.07,12305.23,16608.58,-14032.19,-2694.76,6430.01,-12744.57,-103818.35,420.73,6231.38,-103397.62,-97166.24
321,333.37,12375.5,16532.06,-13957.34,-2817.3,6446.09,-12793.22,-103820.31,423.44,6119.17,-103396.87,-97277.7
322,346.91,12339.54,16510.4,-14050.42,-3339.89,6424.72,-12596.54,-103253.87,418.73,5634.72,-102835.14,-97200.42
323,345.09,12377.08,16545.82,-14052.97,-3292.35,6430.56,-12751.5,-103207.96,420.98,5601.72,-102786.98,-97185.26
324,367.99,12471.99,16562.42,-14026.28,-3402.25,6417.9,-12657.12,-103224.73,419.21,5734.64,-102805.52,-97070.88
325,316.01,12310.96,16531.67,-14026.24,-3409.85,6451.26,-12580.86,-103275.88,420.92,5592.95,-102854.95,-97262.0
326,369.39,12242.08,16493.1,-13971.53,-3354.21,6430.45,-12532.31,-103359.37,419.14,5676.97,-102940.22,-97263.25
327,341.99,12364.34,16526.58,-14004.2,-3331.79,6416.76,-12594.22,-103427.22,419.84,5719.46,-103007.38,-97287.92
328,339.5,12502.25,16526.06,-13956.36,-3880.19,6401.66,-12565.21,-102929.93,419.14,5367.71,-102510.79,-97143.08
329,376.93,12390.9,16503.0,-14040.01,-3785.33,6450.13,-12710.66,-102933.05,419.36,5184.97,-102513.69,-97328.73
330,317.24,12251.38,16528.34,-13984.78,-3297.48,6424.93,-12582.66,-103393.59,417.18,5656.97,-102976.42,-97319.45
331,361.83,12287.63,16460.25,-14022.65,-3368.04,6461.88,-12580.33,-103369.4,417.82,5600.58,-102951.58,-97351.0
332,327.08,12106.86,16578.5,-14073.93,-3735.96,6444.11,-12548.46,-102927.52,417.55,5098.2,-102509.97,-97411.77
333,358.03,12240.86,16477.22,-14079.05,-3463.94,6412.88,-12626.72,-103096.82,417.76,5319.28,-102679.06,-97359.78
334,400.4,12412.42,16530.0,-14073.71,-2949.05,6412.4,-12702.06,-103590.98,417.52,6030.42,-103173.46,-97143.04
335,325.67,12257.3,16601.02,-13731.14,-3364.66,6410.15,-12703.53,-103119.68,416.89,5794.81,-102702.79,-96907.99
336,397.18,12429.23,16482.29,-14008.23,-3287.04,6419.26,-12686.27,-103364.88,418.15,5746.42,-102946.73,-97200.31
337,330.72,12310.71,16657.05,-14084.14,-3189.38,6443.28,-12680.69,-103353.89,416.86,5787.56,-102937.03,-97149.47
338,372.04,12284.19,16619.12,-14015.69,-3466.66,6465.68,-12670.95,-103086.56,421.08,5587.72,-102665.47,-97077.75
339,344.15,12434.54,16523.63,-13978.29,-3263.78,6427.22,-12745.51,-103444.7,417.58,5741.97,-103027.11,-97285.14
340,342.33,12311.54,16509.68,-13772.01,-2709.91,6436.58,-12530.35,-103929.92,421.27,6587.87,-103508.66,-96920.79
341,389.02,12433.8,16512.91,-14073.53,-2958.43,6455.02,-12643.13,-103646.89,420.54,6115.66,-103226.35,-97110.69
342,354.05,12284.68,16545.62,-14045.7,-3222.48,6415.12,-12556.6,-103504.69,421.79,5774.68,-103082.9,-97308.22
343,352.03,12373.54,16549.17,-13995.68,-2773.36,6426.77,-12558.94,-103932.64,420.69,6373.53,-103511.95,-97138.42
344,366.12,12437.68,16494.82,-13838.99,-3244.3,6380.35,-12653.57,-103362.58,417.93,5942.1,-102944.65,-97002.55
345,353.26,12170.46,16628.53,-14028.43,-3180.55,6476.7,-12631.34,-103521.68,420.74,5788.64,-103100.95,-97312.31
346,364.82,12248.01,16551.98,-13938.06,-2949.24,6430.73,-12637.82,-103784.78,420.36,6070.42,-103364.41,-97293.99
347,350.03,12275.18,16481.31,-13914.34,-2869.77,6453.86,-12723.03,-103787.57,420.87,6053.25,-103366.69,-97313.45
348,320.71,12387.34,16536.24,-14147.36,-2544.93,6427.35,-12602.6,-104062.05,418.76,6376.76,-103643.29,-97266.53
349,334.84,12311.96,16498.58,-13983.21,-2727.39,6426.15,-12665.82,-103872.05,420.06,6195.1,-103452.0,-97256.89
350,322.13,12373.94,16492.07,-14037.43,-3482.2,6404.22,-12671.69,-103214.61,418.58,5401.05,-102796.03,-97394.98
351,348.93,12440.12,16528.53,-14006.36,-3428.53,6430.56,-12745.62,-103087.66,419.45,5567.63,-102668.21,-97100.58
352,309.65,12377.25,16508.07,-13972.0,-2815.16,6468.6,-12747.64,-103815.87,422.76,6128.77,-103393.11,-97264.34
353,385.62,12454.04,16516.92,-13996.43,-2834.43,6440.24,-12587.08,-103890.15,417.51,6378.88,-103472.65,-97093.76
354,359.25,12431.79,16515.94,-13867.8,-3562.88,6403.47,-12750.67,-103055.21,422.18,5529.1,-102633.02,-97103.92
