GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
270,347.62,12375.63,16501.15,-13853.13,3082.52,6456.82,-12494.43,-109881.54,427.27,12416.18,-109454.28,-97038.09
271,348.03,12491.56,16527.21,-13418.59,2645.75,6441.65,-12566.73,-109462.21,426.2,12468.87,-109036.01,-96567.14
272,354.02,12325.52,16534.76,-13815.78,3309.92,6422.7,-12560.52,-110038.66,429.35,12570.64,-109609.32,-97038.67
273,370.14,12369.23,16489.55,-13662.45,3223.24,6411.56,-12584.9,-109953.84,425.5,12616.35,-109528.34,-96911.99
274,344.85,12284.77,16611.53,-13951.46,3291.61,6422.48,-12514.45,-110163.78,427.65,12489.33,-109736.13,-97246.8
275,336.23,12321.6,16534.26,-13726.31,3488.99,6398.59,-12473.37,-110327.6,425.16,12880.0,-109902.43,-97022.44
276,380.04,12424.24,16544.06,-13420.16,3430.92,6438.48,-12635.54,-110135.72,424.05,13162.05,-109711.67,-96549.63
277,341.89,12497.69,16562.91,-13830.93,2933.6,6435.87,-12538.24,-109738.05,423.02,12402.79,-109315.03,-96912.24
278,359.85,12358.9,16492.6,-13361.89,2987.36,6446.2,-12528.8,-109825.88,423.72,12754.23,-109402.16,-96647.93
279,324.52,12408.74,16568.03,-13907.35,2835.06,6410.21,-12528.39,-109730.67,428.67,12110.82,-109302.0,-97191.18
280,318.18,12273.25,16500.12,-13607.45,3704.57,6425.77,-12463.78,-110591.89,427.85,13150.66,-110164.05,-97013.39
281,349.25,12403.55,16561.3,-12942.82,3387.74,6425.26,-12406.41,-110297.93,428.71,13777.87,-109869.21,-96091.34
282,318.41,12153.67,16424.1,-13704.63,3022.97,6420.76,-12352.46,-109961.0,426.54,12282.81,-109534.45,-97251.64
283,381.07,12354.21,16509.28,-12336.45,3582.47,6387.65,-12552.61,-110360.27,430.45,14325.62,-109929.82,-95604.2
284,303.74,12202.05,16519.39,-13782.93,3427.02,6439.3,-12531.29,-110243.17,428.56,12577.29,-109814.61,-97237.32
285,416.5,12340.46,16573.64,-13580.36,3728.99,6400.43,-12489.9,-110676.88,431.88,13389.77,-110245.01,-96855.24
286,351.76,12338.23,16569.01,-13394.42,3471.0,6464.75,-12533.33,-110255.69,432.2,13267.01,-109823.49,-96556.48
287,379.54,12401.67,16524.34,-13102.73,3604.68,6476.69,-12447.17,-110538.79,428.5,13837.03,-110110.29,-96273.26
288,355.27,12322.95,16655.4,-13512.83,3009.87,6449.07,-12568.14,-109881.25,428.0,12711.59,-109453.25,-96741.66
289,352.07,12302.74,16557.12,-12287.14,3518.84,6479.74,-12597.62,-110292.01,430.44,14325.74,-109861.57,-95535.83
290,373.69,12354.8,16540.37,-13836.95,3391.26,6387.5,-12655.49,-110208.63,428.63,12555.17,-109779.99,-97224.82
291,349.37,12363.89,16439.25,-13553.41,3602.55,6471.16,-12471.99,-110582.61,428.54,13200.82,-110154.07,-96953.25
292,342.97,12451.7,16505.77,-13361.3,3116.76,6431.97,-12522.14,-110006.33,430.44,12965.74,-109575.89,-96610.15
293,318.23,12390.88,16523.2,-13733.42,3082.8,6440.9,-12500.73,-109983.03,431.0,12521.86,-109552.03,-97030.17
294,311.01,12250.37,16501.01,-13906.29,3457.82,6478.58,-12498.3,-110148.48,429.48,12594.2,-109719.01,-97124.81
295,398.06,12235.53,16576.34,-12876.69,3138.36,6435.84,-12413.49,-109988.73,426.66,13493.94,-109562.07,-96068.13
296,377.46,12253.66,16588.71,-13650.31,2508.58,6399.13,-12563.34,-109419.11,429.83,11913.89,-108989.28,-97075.39
297,337.53,12299.86,16460.79,-13467.55,2792.65,6453.25,-12536.4,-109604.65,425.79,12340.15,-109178.86,-96838.72
298,332.25,12450.95,16564.32,-13213.97,2917.59,6386.69,-12546.49,-109741.25,427.59,12891.35,-109313.65,-96422.3
299,309.09,12248.93,16560.26,-13839.1,3017.77,6475.93,-12532.02,-109921.09,430.81,12240.86,-109490.29,-97249.42
300,340.1,12440.79,16467.14,-13924.3,3470.7,6433.45,-12566.06,-110192.7,427.85,12661.82,-109764.86,-97103.03
301,342.77,12363.78,16528.6,-13749.44,3376.29,6377.93,-12578.09,-110139.66,429.21,12661.84,-109710.45,-97048.61
302,366.58,12481.48,16527.13,-13935.58,3166.94,6425.97,-12621.17,-109871.53,428.58,12411.35,-109442.95,-97031.6
303,368.37,12186.76,16504.63,-13804.81,3257.55,6463.25,-12392.09,-110269.83,430.84,12583.66,-109838.99,-97255.33
304,314.54,12308.46,16539.63,-13932.55,3275.88,6484.63,-12596.85,-110108.92,427.85,12393.74,-109681.08,-97287.34
305,335.79,12277.24,16460.92,-13970.8,3110.81,6453.61,-12544.47,-109828.45,428.85,12123.1,-109399.59,-97276.49
306,367.77,12335.21,16623.34,-13601.95,3864.02,6446.0,-12607.14,-110605.88,429.05,13427.24,-110176.83,-96749.59
307,318.78,12391.01,16592.8,-12885.92,3872.09,6446.91,-12586.98,-110597.86,429.98,14148.7,-110167.87,-96019.18
308,329.06,12326.0,16520.1,-12681.79,3196.32,6415.72,-12534.85,-110050.54,428.33,13570.57,-109622.21,-96051.63
309,345.17,12332.14,16469.12,-12582.77,3317.31,6427.19,-12560.43,-110094.47,430.33,13747.73,-109664.14,-95916.41
